"Rank","Address","XDP Allocation","Raw Amount","Block","Tx Hash"
"1730","0x289348002bdb57c2f913876d6bcccb21fa56d483","1110.776564816726118793","1110776564816726118793","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1731","0xda836867078ee286a84791d08e9a174d5f96af80","1109.207403317999087487","1109207403317999087487","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1732","0x1ff88966e606a94b1286e62db17a12cac9a72440","1107.898686972042938407","1107898686972042938407","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1733","0x57818e0e6b708c8764e42fd78401830810bb7d80","1105.507761379418592013","1105507761379418592013","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1734","0x6826669bba691227311daeaf856ea35b852ebd20","1104.82494645094404965","1104824946450944049650","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1735","0xae78d31a018d5392205f3c050b6ab35bc12ba680","1104.188831700666698114","1104188831700666698114","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1736","0x2283b0831ef8c18f32dd14ca07298eca34137303","1102.945626567568816941","1102945626567568816941","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1737","0x043ec3ed7f303cf945a168efc63bfc9056c50ac0","1102.483640887458464693","1102483640887458464693","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1738","0xac858f456386f063e580e154f2aac1001931f29d","1102.087441548974497945","1102087441548974497945","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1739","0x3ec73b97886a778d172f14cf242e9da51eaa4f19","1099.532952748753397656","1099532952748753397656","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
"1740","0x4b394d1ea9496036a2ca990c44a4e8dfc5d9c667","1097.176478910184346518","1097176478910184346518","51115418","0x3be577df8102c5fdd3d8b5b71f533aff433ef562a8e68649b14a45739003e1e3"
